,AdditionalRooms,Age,Lift Available,Car Parking,Power Backup,Indoor Games,Intercom,Landscaped Gardens,Gas connection,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Childrens play area,Maintenance Staff,Staff Quarter,Shopping Mall,School,Hospital,ATM,Refrigerator,Sports Facility,Multipurpose Room,Wardrobe,Cafeteria,Golf Course,TV,Sofa,Microwave,BED,Wifi,AC,Dining Table,Washing Machine,Area,Balconies,Bathroom,Count Rooms,Room Type,Property Type,Carpetarea,Facing,Floor,Locality,New Or Old,Opensides,Overlooking,Ownership,PossesionDate,Month Of Date,Price,PriceperSquare,ProjectName,RoadFacing,Status,furnished,Totalfloor
28939,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565 ,,3,,BHK,Apartment,,East,1 ,balewadi,new,2,available,freehold,,,9500000, 6070  ,manav perfect 10,,ready to move,not available,9
28940,,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250 ,,2,,BHK,Apartment,,East,5 ,baner,resale,2,not available,freehold,,,7500000, 6000  ,rachana beverly hills,,ready to move,unfurnished,12
28941,,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087 ,1,2,,BHK,Apartment,,North,12 ,baner,new,2,not available,freehold,,,6900000, 6347  ,puraniks aldea anexo,,ready to move,not available,12
28942,,1.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998 ,,2,,BHK,Apartment,,West,1 ,wakad,new,2,not available,freehold,,,5500000, 5511  ,fortune fortune 108,30 ,ready to move,not available,7
28943,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915 ,1,2,,BHK,Apartment,700 ,East,5 ,sus,new,2,not available,freehold,,,5000000, 5464  ,builder sukhwani panorama,80 ,ready to move,not available,10
28944,,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470 ,,3,,BHK,Apartment,,East,7 ,bavdhan,resale,3,not available,freehold,,,9500000, 6462  ,viva viva hallmark,80 ,ready to move,semifurnished,12
28945,,3.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420 ,,2,,BHK,Apartment,,West,2 ,baner,new,2,available,freehold,,,11000000, 7746  ,pride valencia,80 ,ready to move,not available,12
28946,,4.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145 ,,2,,BHK,Apartment,,East,7 ,baner,resale,2,not available,freehold,,,7500000, 6550  ,rachana my world,100 ,ready to move,unfurnished,12
28947,,4.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405 ,1,2,,BHK,Apartment,,East,8 ,baner,resale,2,not available,freehold,,,12000000, 8540  ,pride platinum,30 ,ready to move,semifurnished,12
28948,,1.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3585 ,2,4,,BHK,Apartment,2597 ,East,8 ,baner,new,2,available,freehold,,,40000000, 11157  ,kasturi the balmoral estate,120 ,ready to move,not available,16
28949,1,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930 ,2,2,,BHK,Apartment,698 ,East,4 ,pune solapur road,resale,,,freehold,,,4500000, 4838  ,builder shree krushna ville,20 ,ready to move,unfurnished,7
28950,1,6.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,650 ,1,1,,BHK,Apartment,488 ,East,5 ,sasane nagar,resale,,available,freehold,,,3500000, 5384  ,subhash builder vardhaman township,20 ,ready to move,unfurnished,8
28951,,6.5,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,,1980 ,3,3,,BHK,Apartment,,,9 ,kharadi,resale,,available,freehold,,,14000000, 7070  ,vascon forest county,,ready to move,semifurnished,9
28952,,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700 ,,1,,BHK,Apartment,,East,2,hadapsar,resale,,,freehold,,,2500000, 3571  ,builder sarthak society,,ready to move,unfurnished,
28953,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755 ,,1,,BHK,Apartment,,East,2,hadapsar,resale,,,freehold,,,4000000, 5298  ,,,ready to move,unfurnished,
28954,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545 ,,1,,BHK,Apartment,,East,2,undri,new,,,,,,4100000, 7522  ,,,ready to move,not available,
28955,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550 ,,1,,BHK,Apartment,,East,2,sasane nagar,resale,,,freehold,,,3000000, 5454  ,,,ready to move,furnished,
28956,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630 ,,1,,BHK,Apartment,,East,4,hadapsar,resale,,,freehold,,,2400000, 3809  ,,,ready to move,unfurnished,
28957,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590 ,,1,,BHK,Apartment,,East,2,hadapsar,resale,,,freehold,,,4400000, 7457  ,,,ready to move,unfurnished,
28958,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550 ,,1,,BHK,Apartment,,East,3,hadapsar,resale,,,freehold,,,2800000, 5090  ,,,ready to move,semifurnished,
28959,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517 ,,1,,BHK,Apartment,,East,2,hadapsar,new,,,freehold,,,4000000, 7736  ,,,ready to move,not available,
28960,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630 ,,1,,BHK,Apartment,,East,3,sasane nagar,resale,,,freehold,,,3000000, 4761  ,,,ready to move,unfurnished,
